inning,pitcher,season,hits_allowed,walks,strikeouts,batters_faced,runs_allowed,ERA_season,WHIP_season,FIP_season,K/9_season,BB/9_season,xFIP_season,CSW%_season,xERA_season,runs_rolling10_team,OBP_team,SLG_team,K_rate_team,BB_rate_team,is_home_team,label
1,571578,2023,4,2,2,9,1,5.2,1.48,5.28,6.2,2.85,4.76,0.25,6.16,0.4,0.3488372093023256,0.3142857142857143,0.3023255813953488,0.1627906976744186,True,1
1,450203,2023,6,6,5,9,6,3.64,1.43,3.87,10.08,4.57,4.27,0.307,4.64,0.9,0.4,0.7555555555555555,0.3,0.08,True,0
1,666200,2023,4,3,8,9,0,3.58,1.21,3.55,10.48,2.77,3.72,0.299,3.96,0.8,0.3846153846153846,0.6976744186046512,0.173076923076923,0.1346153846153846,False,0
1,664285,2023,6,1,5,9,1,3.45,1.13,3.5,9.09,2.59,3.39,0.281,4.3,0.7,0.3529411764705882,0.2926829268292683,0.1372549019607843,0.1372549019607843,True,1
1,543475,2023,6,3,6,9,4,6.28,1.24,5.62,6.08,2.28,5.34,0.238,4.93,0.4,0.3333333333333333,0.4146341463414634,0.2222222222222222,0.0888888888888888,False,1
1,665152,2023,2,2,5,9,1,4.12,1.31,4.51,8.18,2.87,4.34,0.261,4.93,0.8,0.3829787234042553,0.4473684210526316,0.3404255319148936,0.1702127659574468,False,1
1,641154,2023,8,0,8,9,5,3.66,1.15,3.33,10.86,2.23,3.28,0.301,3.0,1.0,0.2978723404255319,0.4318181818181818,0.2978723404255319,0.0425531914893617,True,1
1,571945,2023,8,0,2,9,5,4.78,1.32,4.27,6.12,1.74,4.76,0.25,5.44,1.4,0.4736842105263157,0.7021276595744681,0.2280701754385964,0.1578947368421052,False,1
1,669203,2023,5,3,9,9,4,3.39,1.07,3.81,9.29,3.07,3.8,0.292,3.38,0.8,0.3181818181818182,0.6097560975609756,0.2045454545454545,0.0227272727272727,False,0
1,641540,2023,6,4,5,9,0,3.7,1.26,4.27,7.3,2.87,4.39,0.2739999999999999,4.48,0.6,0.4042553191489361,0.4736842105263157,0.1276595744680851,0.1702127659574468,True,1
1,605135,2023,4,3,5,9,2,3.6,1.18,4.28,8.37,2.66,4.21,0.28,4.04,0.5,0.3584905660377358,0.5,0.2830188679245283,0.0566037735849056,False,1
1,657006,2023,7,2,5,9,6,3.06,1.17,3.02,9.14,1.87,3.32,0.262,3.5,0.5,0.25,0.4054054054054054,0.35,0.05,True,1
1,669923,2023,5,3,7,9,4,3.35,1.04,3.34,8.12,0.9,3.63,0.273,3.9,0.7,0.3555555555555555,0.5263157894736842,0.2,0.1111111111111111,False,0
1,657277,2023,4,0,6,9,1,3.25,1.07,3.16,8.08,1.29,2.95,0.293,3.63,0.6,0.2926829268292683,0.3243243243243243,0.2439024390243902,0.0975609756097561,True,1
1,605400,2023,7,1,1,9,3,4.46,1.15,4.03,9.39,2.09,3.63,0.296,3.71,1.0,0.3617021276595745,0.5,0.1914893617021276,0.1489361702127659,True,1
1,608337,2023,2,1,12,9,0,4.88,1.31,5.27,9.96,3.56,4.45,0.288,4.61,0.5,0.375,0.6097560975609756,0.2291666666666666,0.1458333333333333,False,0
1,621244,2023,5,0,8,9,0,3.65,1.19,3.99,8.73,2.47,4.01,0.294,4.51,0.5,0.3396226415094339,0.48,0.3018867924528302,0.0566037735849056,False,1
1,664299,2023,5,1,6,9,3,4.56,1.27,4.58,8.83,3.44,5.16,0.252,4.42,0.5,0.3125,0.3,0.1666666666666666,0.125,True,1
1,543037,2023,6,3,3,9,2,2.63,0.98,3.16,9.56,2.07,3.6,0.2769999999999999,3.48,0.6,0.3555555555555555,0.4634146341463415,0.2,0.0666666666666666,True,1
1,670912,2023,4,5,7,9,1,4.31,1.37,4.49,8.0,4.2,4.87,0.265,4.61,0.1,0.2857142857142857,0.2,0.3265306122448979,0.1836734693877551,False,0
1,693821,2023,9,0,6,10,4,3.81,1.28,4.42,6.6,3.25,4.49,0.264,4.61,0.5,0.3111111111111111,0.5853658536585366,0.3111111111111111,0.0444444444444444,True,1
1,621107,2023,1,0,8,9,1,3.5,1.02,3.01,9.42,1.22,3.12,0.302,3.02,0.0,0.1944444444444444,0.0666666666666666,0.2777777777777778,0.1388888888888889,True,1
1,680694,2023,7,0,5,9,4,2.83,1.04,3.27,8.96,2.35,3.53,0.291,3.77,0.7,0.4,0.4102564102564102,0.32,0.18,False,0
1,592332,2023,6,6,5,9,4,3.16,1.18,2.97,11.53,2.68,3.22,0.296,3.85,0.7,0.3877551020408163,0.6904761904761905,0.2040816326530612,0.1428571428571428,False,1
1,518876,2023,6,4,7,9,7,3.29,1.19,3.85,9.47,3.5,3.83,0.276,4.1,0.9,0.3478260869565217,0.55,0.1521739130434782,0.0434782608695652,True,0
1,673540,2023,2,2,10,9,0,2.98,1.22,3.63,10.93,4.17,3.77,0.28,3.87,0.3,0.2368421052631578,0.3783783783783784,0.3684210526315789,0.0263157894736842,False,1
1,605483,2023,1,1,8,9,0,2.25,1.19,3.44,11.7,4.95,3.62,0.308,3.77,0.7,0.3409090909090909,0.5384615384615384,0.1590909090909091,0.0681818181818181,True,1
1,656605,2023,2,1,7,9,0,4.21,1.25,3.8,9.73,2.55,3.7,0.283,4.18,0.7,0.3023255813953488,0.55,0.1627906976744186,0.0232558139534883,False,1
1,656756,2023,4,1,3,9,0,3.2,1.19,3.56,7.92,2.29,4.01,0.28,3.98,0.0,0.1714285714285714,0.064516129032258,0.1428571428571428,0.1142857142857142,True,1
1,579328,2023,5,2,3,9,6,3.86,1.27,4.12,9.72,2.58,3.77,0.2789999999999999,4.3,0.9,0.4117647058823529,0.7272727272727273,0.1764705882352941,0.1372549019607843,False,0
1,668678,2023,8,3,4,9,6,3.47,1.12,3.26,9.43,2.01,3.49,0.285,4.16,0.9,0.3617021276595745,0.5853658536585366,0.1276595744680851,0.0425531914893617,True,1
1,622491,2023,3,3,8,9,2,3.34,1.1,3.81,10.01,2.56,3.81,0.29,3.79,0.3,0.2564102564102564,0.3428571428571428,0.2307692307692307,0.0512820512820512,False,0
1,675911,2023,4,2,9,9,1,3.86,1.09,2.85,13.55,2.8,2.92,0.3379999999999999,3.09,1.2,0.4561403508771929,0.6,0.2280701754385964,0.1929824561403508,True,1
1,502043,2023,3,3,4,9,1,4.73,1.32,4.13,7.36,2.58,4.13,0.272,4.8,1.0,0.4081632653061224,0.5128205128205128,0.1836734693877551,0.1836734693877551,False,1
1,458681,2023,5,2,3,9,2,5.73,1.39,5.53,9.36,3.28,4.5,0.265,4.86,0.6,0.3181818181818182,0.5263157894736842,0.25,0.0909090909090909,False,1
1,642547,2023,2,0,9,9,1,3.86,1.12,3.85,11.41,2.93,3.42,0.294,3.35,0.5,0.3478260869565217,0.575,0.2391304347826087,0.108695652173913,False,1
1,656302,2023,4,1,8,9,1,4.58,1.42,3.72,10.88,4.02,4.08,0.291,4.1,0.7,0.3333333333333333,0.4878048780487805,0.125,0.1041666666666666,False,1
1,676664,2023,5,2,3,9,2,4.54,1.26,5.15,8.41,2.77,5.1,0.255,4.64,0.8,0.4230769230769231,0.5777777777777777,0.1538461538461538,0.0961538461538461,True,1
